,#Thread Blocks,#Threads,GPU Utilization,GPU Memory Utilization,GPU Memory usage (MB),GRACT,SMACT,SMOCC
0,1,1,65,0,301.4285714,0.683142857,0.001571429,0
1,1,8,65.85714286,0,310.5714286,0.673571429,0.001428571,0
2,1,32,67.28571429,0,359.1428571,0.73,0.001571429,0
3,1,128,65.14285714,0,359.1428571,0.660285714,0.001428571,0
4,1,256,66.85714286,0,310.5714286,0.723571429,0.001571429,0
5,1,512,65.42857143,0,302,0.707142857,0.001571429,0.000714286
6,1,1024,66.28571429,0,359.1428571,0.673714286,0.001571429,0.000714286
7,128,1,70.28571429,0,358.8571429,0.770714286,0.176714286,0.003142857
8,128,8,71.42857143,0,359.1428571,0.760714286,0.175285714,0.003142857
9,128,32,63.125,0,365.75,0.751428571,0.173714286,0.003142857
10,128,128,72.75,0,324.125,0.77625,0.20575,0.0145
11,128,256,70.8,0,335.2,0.832111111,0.193,0.026666667
12,128,512,72.9,0,376.4,0.801111111,0.195888889,0.053888889
13,128,1024,78.44444444,0,328.6666667,0.826333333,0.211,0.113444444
21,512,1,72,0,366.625,0.77325,0.17375,0.00975
22,512,8,69.625,0,366.375,0.771428571,0.177857143,0.010142857
23,512,32,74.375,0,366.625,0.754,0.17125,0.01
24,512,128,78.7,0,337.7,0.808111111,0.164,0.038888889
25,512,256,87.06666667,0,391.0666667,0.893666667,0.1266,0.060133333
26,512,512,88.33333333,0,395.7222222,0.904944444,0.115611111,0.094611111
27,512,1024,89.22222222,0,375.7222222,0.912944444,0.327444444,0.237222222
28,1024,1,74.25,0,317.625,0.7975,0.18425,0.014625
29,1024,8,66.66666667,0,325.8888889,0.7975,0.180125,0.0145
30,1024,32,65.33333333,0,325.8888889,0.787375,0.181875,0.0145
31,1024,128,82.5,0,350.75,0.867333333,0.145083333,0.047333333
32,1024,256,90,0,385.7826087,0.923636364,0.092090909,0.061363636
33,1024,512,87.59090909,0,383.5454545,0.922190476,0.131571429,0.095333333
34,1024,1024,88.96551724,0,395.8275862,0.93975,0.524321429,0.365428571
35,2048,1,79,0,376.7,0.7836,0.1862,0.0145
36,2048,8,75,0,342.9,0.815,0.193888889,0.015
37,2048,32,79,0,376.9,0.816444444,0.196,0.015777778
38,2048,128,92,0,386.56,0.9364,0.10048,0.02816
39,2048,256,93.53333333,0,406.9666667,0.935766667,0.101466667,0.0545
40,2048,512,91,0,390.2083333,0.917416667,0.170875,0.11175
41,2048,1024,94.36538462,0,416.2692308,0.965096154,0.713384615,0.501384615
42,4096,1,90.58333333,0,384.0833333,0.890166667,0.222,0.016333333
43,4096,8,97.91666667,0,384.0833333,0.900909091,0.226272727,0.017090909
44,4096,32,92.8,0,391.0666667,0.918066667,0.1782,0.013866667
45,4096,128,96.86666667,0,406.9666667,0.963033333,0.1465,0.030866667
46,4096,256,97.48387097,0,411.2903226,0.961032258,0.15483871,0.066516129
47,4096,512,98.34615385,0,416.3461538,0.954846154,0.253538462,0.149230769
48,4096,1024,99.44444444,0,444.8425926,0.988435185,0.846935185,0.617398148
49,8192,1,97.04,0,402.24,0.951,0.19024,0.01244
50,8192,8,95.91304348,0,400.6956522,0.948045455,0.212454545,0.014045455
51,8192,32,97.68421053,0,407.9736842,0.965891892,0.126783784,0.00872973
52,8192,128,98.63888889,0,413.1944444,0.964805556,0.253777778,0.037777778
53,8192,256,97.76923077,0,421.8974359,0.970282051,0.239102564,0.077769231
54,8192,512,97.38888889,0,436.5277778,0.966833333,0.328388889,0.175333333
55,8192,1024,99.61504425,0,478.8716814,0.993814978,0.929145374,0.687409692
56,16384,1,98.49152542,0,411.8983051,0.979728814,0.159016949,0.008830508
57,16384,8,98.78846154,0,410.9423077,0.978384615,0.182153846,0.009807692
58,16384,32,98.75,0,414.421875,0.9820625,0.147453125,0.00884375
59,16384,128,98.84,0,424.34,0.97462,0.41936,0.04498
60,16384,256,98.67272727,0,440.8363636,0.978418182,0.387872727,0.088509091
61,16384,512,98.22641509,0,471.9245283,0.976981132,0.565301887,0.337150943
62,16384,1024,99.93034826,0,543.6442786,0.997079208,0.959190594,0.742821782
63,32768,1,99.18965517,0,415.387931,0.989767241,0.160525862,0.007931034
64,32768,8,99.27692308,0,415.7769231,0.990769231,0.142861538,0.007930769
65,32768,32,99.39325843,0,420.2247191,0.98794382,0.30705618,0.026483146
66,32768,128,99.39240506,0,443.3164557,0.984683544,0.651151899,0.222822785
67,32768,256,99.33333333,0,475.827957,0.986311828,0.70688172,0.382075269
68,32768,512,99,0,539.1397849,0.986322581,0.718752688,0.43555914
69,32768,1024,99.93429844,0,672.2505568,0.998619048,0.981641196,0.737183832
70,65536,1,99.55844156,0,416.2792208,0.993032468,0.240318182,0.011915584
71,65536,8,99.58181818,0,418.4484848,0.992509091,0.224527273,0.010927273
72,65536,32,99.49677419,0,430.2064516,0.992703226,0.422683871,0.123096774
73,65536,128,99.73652695,0,478.1197605,0.991784431,0.786694611,0.449718563
74,65536,256,99.57638889,0,541.2152778,0.990772414,0.77157931,0.401655172
75,65536,512,99.64,0,670.0088889,0.9935,0.878123894,0.589327434
76,65536,1024,99.9506463,0,928.4541716,0.998929907,0.9899375,0.768954439
77,131072,1,99.62992126,0,417.3503937,0.994733333,0.29074902,0.013941176
78,131072,8,99.86415094,0,423.3962264,0.994739623,0.278803774,0.013939623
79,131072,32,99.80887372,0,447.4675768,0.996173469,0.492108844,0.168445578
80,131072,128,99.8745098,0,542.8627451,0.995390625,0.786214844,0.3901875
81,131072,256,99.71856287,0,670.9850299,0.996274627,0.878707463,0.562892537
82,131072,512,99.72727273,0,924.7741935,0.994699708,0.901189504,0.581895044
83,131072,1024,99.75689223,0,1437.407268,0.996401496,0.991416459,0.779184539
